Subject	journal	impact_factor	Cas
"CHEMISTRY, MULTIDISCIPLINARY"	RUSSIAN CHEMICAL BULLETIN	1.014 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	HETEROATOM CHEMISTRY	1.011 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	TURKISH JOURNAL OF CHEMISTRY	1.000 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Acta Crystallographica Section C-Structural Chemistry	0.930 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	PROGRESS IN CHEMISTRY	0.862 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF THE SERBIAN CHEMICAL SOCIETY	0.828 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	PHARMAZIE	0.820 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN	0.771 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA	0.765 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Theoretical and Experimental Chemistry	0.750 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	CROATICA CHEMICA ACTA	0.731 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	CHEMICAL & ENGINEERING NEWS	0.687 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY	0.680 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE	0.676 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF CHEMICAL RESEARCH	0.670 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Macedonian Journal of Chemistry and Chemical Engineering	0.644 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	RUSSIAN JOURNAL OF GENERAL CHEMISTRY	0.643 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	MAIN GROUP CHEMISTRY	0.625 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	QUIMICA NOVA	0.622 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	BULLETIN OF THE KOREAN CHEMICAL SOCIETY	0.602 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	DOKLADY CHEMISTRY	0.590 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	MOLECULAR CRYSTALS AND LIQUID CRYSTALS	0.559 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	HYLE	0.545 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	0.522 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Solid Fuel Chemistry	0.516 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	INDIAN JOURNAL OF CHEMISTRY SECTION A-INORGANIC BIO-INORGANIC PHYSICAL THEORETICAL & ANALYTICAL CHEMISTRY	0.483 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION	0.461 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Journal of the Mexican Chemical Society	0.434 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	PRZEMYSL CHEMICZNY	0.428 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Chemija	0.424 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	REVUE ROUMAINE DE CHIMIE	0.395 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN	0.393 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	CHEMIE IN UNSERER ZEIT	0.366 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	FIBRE CHEMISTRY	0.330 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	CHEMICKE LISTY	0.311 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	Studia Universitatis Babes-Bolyai Chemia	0.275 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	AFINIDAD	0.263 	Q4
"CHEMISTRY, MULTIDISCIPLINARY"	JOURNAL OF THE INDIAN CHEMICAL SOCIETY	0.158 	Q4
"CHEMISTRY, ORGANIC"	NATURAL PRODUCT REPORTS	11.876 	Q2
"CHEMISTRY, ORGANIC"	ORGANIC LETTERS	6.555 	Q1
"CHEMISTRY, ORGANIC"	CARBOHYDRATE POLYMERS	6.044 	Q1
"CHEMISTRY, ORGANIC"	BIOMACROMOLECULES	5.667 	Q1
"CHEMISTRY, ORGANIC"	ADVANCED SYNTHESIS & CATALYSIS	5.451 	Q1
"CHEMISTRY, ORGANIC"	Organic Chemistry Frontiers	5.076 	Q2
"CHEMISTRY, ORGANIC"	JOURNAL OF ORGANIC CHEMISTRY	4.745 	Q1
"CHEMISTRY, ORGANIC"	ALDRICHIMICA ACTA	4.455 	Q4
"CHEMISTRY, ORGANIC"	BIOCONJUGATE CHEMISTRY	4.349 	Q1
"CHEMISTRY, ORGANIC"	Advances in Heterocyclic Chemistry	4.167 	Q4
"CHEMISTRY, ORGANIC"	ORGANOMETALLICS	4.100 	Q1
"CHEMISTRY, ORGANIC"	Advances in Organometallic Chemistry	4.053 	Q4
"CHEMISTRY, ORGANIC"	BIOORGANIC CHEMISTRY	3.926 	Q3
"CHEMISTRY, ORGANIC"	ORGANIC & BIOMOLECULAR CHEMISTRY	3.490 	Q1
"CHEMISTRY, ORGANIC"	ORGANIC PROCESS RESEARCH & DEVELOPMENT	3.327 	Q2
"CHEMISTRY, ORGANIC"	EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	3.029 	Q2
"CHEMISTRY, ORGANIC"	Topics in Organometallic Chemistry	3.000 	Q3
"CHEMISTRY, ORGANIC"	SYNTHESIS-STUTTGART	2.867 	Q2
"CHEMISTRY, ORGANIC"	BIOORGANIC & MEDICINAL CHEMISTRY	2.802 	Q3
"CHEMISTRY, ORGANIC"	Beilstein Journal of Organic Chemistry	2.595 	Q2
"CHEMISTRY, ORGANIC"	BIOINORGANIC CHEMISTRY AND APPLICATIONS	2.583 	Q4
"CHEMISTRY, ORGANIC"	Asian Journal of Organic Chemistry	2.496 	Q3
"CHEMISTRY, ORGANIC"	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS	2.448 	Q3
"CHEMISTRY, ORGANIC"	Advances in Carbohydrate Chemistry and Biochemistry	2.429 	Q4
"CHEMISTRY, ORGANIC"	SYNLETT	2.418 	Q2
"CHEMISTRY, ORGANIC"	TETRAHEDRON	2.379 	Q2
"CHEMISTRY, ORGANIC"	Advances in Physical Organic Chemistry	2.333 	Q4
"CHEMISTRY, ORGANIC"	TETRAHEDRON LETTERS	2.259 	Q2
"CHEMISTRY, ORGANIC"	JOURNAL OF ORGANOMETALLIC CHEMISTRY	2.066 	Q3
"CHEMISTRY, ORGANIC"	JOURNAL OF FLUORINE CHEMISTRY	2.055 	Q3
"CHEMISTRY, ORGANIC"	CURRENT ORGANIC CHEMISTRY	2.029 	Q3
"CHEMISTRY, ORGANIC"	CHIRALITY	1.927 	Q3
"CHEMISTRY, ORGANIC"	CARBOHYDRATE RESEARCH	1.873 	Q4
"CHEMISTRY, ORGANIC"	CURRENT ORGANIC SYNTHESIS	1.841 	Q3
"CHEMISTRY, ORGANIC"	JOURNAL OF PHYSICAL ORGANIC CHEMISTRY	1.530 	Q3
"CHEMISTRY, ORGANIC"	ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL	1.520 	Q3
"CHEMISTRY, ORGANIC"	Chemistry of Heterocyclic Compounds	1.492 	Q3
"CHEMISTRY, ORGANIC"	SYNTHETIC COMMUNICATIONS	1.439 	Q3
"CHEMISTRY, ORGANIC"	CHINESE JOURNAL OF ORGANIC CHEMISTRY	1.318 	Q3
"CHEMISTRY, ORGANIC"	ARKIVOC	1.253 	Q3
"CHEMISTRY, ORGANIC"	JOURNAL OF HETEROCYCLIC CHEMISTRY	1.241 	Q3
"CHEMISTRY, ORGANIC"	POLYCYCLIC AROMATIC COMPOUNDS	1.237 	Q4
"CHEMISTRY, ORGANIC"	MINI-REVIEWS IN ORGANIC CHEMISTRY	1.120 	Q4
"CHEMISTRY, ORGANIC"	PETROLEUM CHEMISTRY	0.991 	Q4
"CHEMISTRY, ORGANIC"	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES	0.961 	Q4
"CHEMISTRY, ORGANIC"	HETEROCYCLES	0.878 	Q4
"CHEMISTRY, ORGANIC"	JOURNAL OF CARBOHYDRATE CHEMISTRY	0.828 	Q4
"CHEMISTRY, ORGANIC"	HETEROCYCLIC COMMUNICATIONS	0.810 	Q4
"CHEMISTRY, ORGANIC"	RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY	0.794 	Q4
"CHEMISTRY, ORGANIC"	PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS	0.781 	Q4
"CHEMISTRY, ORGANIC"	RUSSIAN JOURNAL OF ORGANIC CHEMISTRY	0.751 	Q4
"CHEMISTRY, ORGANIC"	LETTERS IN ORGANIC CHEMISTRY	0.723 	Q4
"CHEMISTRY, ORGANIC"	MAIN GROUP METAL CHEMISTRY	0.614 	Q4
"CHEMISTRY, ORGANIC"	CHEMISTRY OF NATURAL COMPOUNDS	0.567 	Q4
"CHEMISTRY, ORGANIC"	JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN	0.528 	Q4
"CHEMISTRY, ORGANIC"	INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEMISTRY	0.509 	Q4
"CHEMISTRY, ORGANIC"	INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY	0.068 	Q4
"CHEMISTRY, PHYSICAL"	NATURE MATERIALS	38.887 	Q1
"CHEMISTRY, PHYSICAL"	ADVANCED MATERIALS	25.809 	Q1
"CHEMISTRY, PHYSICAL"	Advanced Energy Materials	24.884 	Q1
"CHEMISTRY, PHYSICAL"	ACS Energy Letters	16.331 	Q2
"CHEMISTRY, PHYSICAL"	ADVANCED FUNCTIONAL MATERIALS	15.621 	Q1
"CHEMISTRY, PHYSICAL"	Nano Energy	15.548 	Q1
"CHEMISTRY, PHYSICAL"	SURFACE SCIENCE REPORTS	14.824 	Q3
"CHEMISTRY, PHYSICAL"	APPLIED CATALYSIS B-ENVIRONMENTAL	14.229 	Q1
"CHEMISTRY, PHYSICAL"	ACS Nano	13.903 	Q1
"CHEMISTRY, PHYSICAL"	NANO LETTERS	12.279 	Q1
"CHEMISTRY, PHYSICAL"	ACS Catalysis	12.221 	Q1
"CHEMISTRY, PHYSICAL"	Annual Review of Physical Chemistry	11.982 	Q2
"CHEMISTRY, PHYSICAL"	Small	10.856 	Q1
"CHEMISTRY, PHYSICAL"	Journal of Materials Chemistry A	10.733 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	10.405 	Q3
"CHEMISTRY, PHYSICAL"	INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY	10.172 	Q3
"CHEMISTRY, PHYSICAL"	CHEMISTRY OF MATERIALS	10.159 	Q1
"CHEMISTRY, PHYSICAL"	npj Computational Materials	9.200 	Q4
"CHEMISTRY, PHYSICAL"	Nanoscale Horizons	9.095 	Q4
"CHEMISTRY, PHYSICAL"	CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	9.000 	Q3
"CHEMISTRY, PHYSICAL"	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	8.848 	Q3
"CHEMISTRY, PHYSICAL"	PROGRESS IN SURFACE SCIENCE	8.762 	Q3
"CHEMISTRY, PHYSICAL"	Nano Research	8.515 	Q2
"CHEMISTRY, PHYSICAL"	ADVANCES IN COLLOID AND INTERFACE SCIENCE	8.243 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF CATALYSIS	7.723 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF POWER SOURCES	7.467 	Q1
"CHEMISTRY, PHYSICAL"	CARBON	7.466 	Q1
"CHEMISTRY, PHYSICAL"	Journal of Physical Chemistry Letters	7.329 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF COLLOID AND INTERFACE SCIENCE	6.361 	Q1
"CHEMISTRY, PHYSICAL"	CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	6.271 	Q2
"CHEMISTRY, PHYSICAL"	Advances in Catalysis	5.857 	Q4
"CHEMISTRY, PHYSICAL"	Catalysis Science & Technology	5.726 	Q2
"CHEMISTRY, PHYSICAL"	Journal of Chemical Theory and Computation	5.313 	Q1
"CHEMISTRY, PHYSICAL"	Journal of Energy Chemistry	5.162 	Q2
"CHEMISTRY, PHYSICAL"	APPLIED SURFACE SCIENCE	5.155 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL	5.008 	Q2
"CHEMISTRY, PHYSICAL"	CHINESE JOURNAL OF CATALYSIS	4.914 	Q2
"CHEMISTRY, PHYSICAL"	Sustainable Energy & Fuels	4.912 	Q4
"CHEMISTRY, PHYSICAL"	CATALYSIS TODAY	4.888 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA	4.684 	Q2
"CHEMISTRY, PHYSICAL"	APPLIED CATALYSIS A-GENERAL	4.630 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF MOLECULAR LIQUIDS	4.561 	Q2
"CHEMISTRY, PHYSICAL"	ChemCatChem	4.495 	Q2
"CHEMISTRY, PHYSICAL"	Journal of Physical Chemistry C	4.309 	Q2
"CHEMISTRY, PHYSICAL"	PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION	4.194 	Q3
"CHEMISTRY, PHYSICAL"	MICROPOROUS AND MESOPOROUS MATERIALS	4.182 	Q1
"CHEMISTRY, PHYSICAL"	JOURNAL OF ALLOYS AND COMPOUNDS	4.175 	Q2
"CHEMISTRY, PHYSICAL"	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	4.084 	Q2
"CHEMISTRY, PHYSICAL"	COLLOIDS AND SURFACES B-BIOINTERFACES	3.973 	Q1
"CHEMISTRY, PHYSICAL"	Liquid Crystals Reviews	3.917 	Q4
"CHEMISTRY, PHYSICAL"	APPLIED CLAY SCIENCE	3.890 	Q2
"CHEMISTRY, PHYSICAL"	FARADAY DISCUSSIONS	3.712 	Q2
"CHEMISTRY, PHYSICAL"	LANGMUIR	3.683 	Q2
"CHEMISTRY, PHYSICAL"	CATALYSIS COMMUNICATIONS	3.674 	Q2
"CHEMISTRY, PHYSICAL"	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	3.567 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF SUPERCRITICAL FLUIDS	3.481 	Q2
"CHEMISTRY, PHYSICAL"	Catalysts	3.444 	Q3
"CHEMISTRY, PHYSICAL"	Soft Matter	3.399 	Q2
"CHEMISTRY, PHYSICAL"	INTERMETALLICS	3.353 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY	3.261 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY	3.202 	Q2
"CHEMISTRY, PHYSICAL"	COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS	3.131 	Q2
"CHEMISTRY, PHYSICAL"	CHEMPHYSCHEM	3.077 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF CHEMICAL PHYSICS	2.997 	Q2
"CHEMISTRY, PHYSICAL"	Structural Dynamics-US	2.953 	Q4
"CHEMISTRY, PHYSICAL"	Methods and Applications in Fluorescence	2.940 	Q4
"CHEMISTRY, PHYSICAL"	Molecular Catalysis	2.938 	Q4
"CHEMISTRY, PHYSICAL"	Plasmonics	2.926 	Q3
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHYSICAL CHEMISTRY B	2.923 	Q2
"CHEMISTRY, PHYSICAL"	SOLID STATE IONICS	2.886 	Q2
"CHEMISTRY, PHYSICAL"	Molecular Systems Design & Engineering	2.708 	Q4
"CHEMISTRY, PHYSICAL"	CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY	2.652 	Q3
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHYSICAL CHEMISTRY A	2.641 	Q2
"CHEMISTRY, PHYSICAL"	FLUID PHASE EQUILIBRIA	2.514 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY	2.471 	Q2
"CHEMISTRY, PHYSICAL"	PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES	2.408 	Q3
"CHEMISTRY, PHYSICAL"	CATALYSIS LETTERS	2.372 	Q3
"CHEMISTRY, PHYSICAL"	Surface Innovations	2.333 	Q4
"CHEMISTRY, PHYSICAL"	Advances in Physical Organic Chemistry	2.333 	Q4
"CHEMISTRY, PHYSICAL"	Electrocatalysis	2.311 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF SOLID STATE CHEMISTRY	2.291 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF CHEMICAL THERMODYNAMICS	2.290 	Q3
"CHEMISTRY, PHYSICAL"	IONICS	2.289 	Q3
"CHEMISTRY, PHYSICAL"	GOLD BULLETIN	2.279 	Q4
"CHEMISTRY, PHYSICAL"	INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY	2.263 	Q3
"CHEMISTRY, PHYSICAL"	THERMOCHIMICA ACTA	2.251 	Q2
"CHEMISTRY, PHYSICAL"	CATALYSIS SURVEYS FROM ASIA	2.250 	Q4
"CHEMISTRY, PHYSICAL"	TOPICS IN CATALYSIS	2.226 	Q2
"CHEMISTRY, PHYSICAL"	SOLID STATE SCIENCES	2.155 	Q2
"CHEMISTRY, PHYSICAL"	Structure and Bonding	2.121 	Q3
"CHEMISTRY, PHYSICAL"	JOURNAL OF MOLECULAR STRUCTURE	2.120 	Q3
"CHEMISTRY, PHYSICAL"	INTERNATIONAL JOURNAL OF PHOTOENERGY	2.026 	Q3
"CHEMISTRY, PHYSICAL"	SOLID STATE NUCLEAR MAGNETIC RESONANCE	2.022 	Q4
"CHEMISTRY, PHYSICAL"	RADIATION PHYSICS AND CHEMISTRY	1.984 	Q3
"CHEMISTRY, PHYSICAL"	JOURNAL OF POROUS MATERIALS	1.947 	Q2
"CHEMISTRY, PHYSICAL"	JOURNAL OF FLUORESCENCE	1.913 	Q3
"CHEMISTRY, PHYSICAL"	COLLOID AND POLYMER SCIENCE	1.906 	Q3
"CHEMISTRY, PHYSICAL"	CHEMICAL PHYSICS LETTERS	1.901 	Q3
"CHEMISTRY, PHYSICAL"	Colloid and Interface Science Communications	1.870 	Q4
"CHEMISTRY, PHYSICAL"	VIBRATIONAL SPECTROSCOPY	1.861 	Q3
"CHEMISTRY, PHYSICAL"	SURFACE SCIENCE	1.849 	Q3
"CHEMISTRY, PHYSICAL"	CLAYS AND CLAY MINERALS	1.835 	Q3
"CHEMISTRY, PHYSICAL"	CHEMICAL PHYSICS	1.822 	Q3
"CHEMISTRY, PHYSICAL"	CLAY MINERALS	1.787 	Q3
"CHEMISTRY, PHYSICAL"	MOLECULAR SIMULATION	1.782 	Q3
"CHEMISTRY, PHYSICAL"	BIOPHYSICAL CHEMISTRY	1.745 	Q4
"CHEMISTRY, PHYSICAL"	MAGNETIC RESONANCE IN CHEMISTRY	1.731 	Q3
"CHEMISTRY, PHYSICAL"	ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY	1.731 	Q3
"CHEMISTRY, PHYSICAL"	EUROPEAN PHYSICAL JOURNAL E	1.686 	Q3
"CHEMISTRY, PHYSICAL"	JOURNAL OF SURFACTANTS AND DETERGENTS	1.672 	Q2
"CHEMISTRY, PHYSICAL"	Journal of Energetic Materials	1.649 	Q4
"CHEMISTRY, PHYSICAL"	STRUCTURAL CHEMISTRY	1.624 	Q3
"CHEMISTRY, PHYSICAL"	THEORETICAL CHEMISTRY ACCOUNTS	1.598 	Q4
"CHEMISTRY, PHYSICAL"	MOLECULAR PHYSICS	1.571 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHYSICAL ORGANIC CHEMISTRY	1.530 	Q3
"CHEMISTRY, PHYSICAL"	PHYSICS AND CHEMISTRY OF LIQUIDS	1.526 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY	1.479 	Q4
"CHEMISTRY, PHYSICAL"	Reaction Kinetics Mechanisms and Catalysis	1.428 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION	1.421 	Q4
"CHEMISTRY, PHYSICAL"	INTERNATIONAL JOURNAL OF CHEMICAL KINETICS	1.417 	Q4
"CHEMISTRY, PHYSICAL"	FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES	1.411 	Q4
"CHEMISTRY, PHYSICAL"	Computational and Theoretical Chemistry	1.344 	Q4
"CHEMISTRY, PHYSICAL"	SURFACE AND INTERFACE ANALYSIS	1.319 	Q4
"CHEMISTRY, PHYSICAL"	Johnson Matthey Technology Review	1.296 	Q4
"CHEMISTRY, PHYSICAL"	Silicon	1.210 	Q4
"CHEMISTRY, PHYSICAL"	ADSORPTION SCIENCE & TECHNOLOGY	1.200 	Q3
"CHEMISTRY, PHYSICAL"	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES	1.079 	Q4
"CHEMISTRY, PHYSICAL"	Physicochemical Problems of Mineral Processing	1.062 	Q4
"CHEMISTRY, PHYSICAL"	ACTA PHYSICO-CHIMICA SINICA	1.050 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF SOLUTION CHEMISTRY	1.039 	Q4
"CHEMISTRY, PHYSICAL"	PETROLEUM CHEMISTRY	0.991 	Q4
"CHEMISTRY, PHYSICAL"	ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS	0.975 	Q4
"CHEMISTRY, PHYSICAL"	COLLOID JOURNAL	0.966 	Q4
"CHEMISTRY, PHYSICAL"	Advances in Quantum Chemistry	0.959 	Q4
"CHEMISTRY, PHYSICAL"	CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING	0.941 	Q4
"CHEMISTRY, PHYSICAL"	KINETICS AND CATALYSIS	0.868 	Q4
"CHEMISTRY, PHYSICAL"	Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B	0.857 	Q4
"CHEMISTRY, PHYSICAL"	INTERNATIONAL JOURNAL OF THERMOPHYSICS	0.853 	Q4
"CHEMISTRY, PHYSICAL"	SURFACE REVIEW AND LETTERS	0.748 	Q4
"CHEMISTRY, PHYSICAL"	TENSIDE SURFACTANTS DETERGENTS	0.748 	Q4
"CHEMISTRY, PHYSICAL"	DOKLADY PHYSICAL CHEMISTRY	0.642 	Q4
"CHEMISTRY, PHYSICAL"	HIGH ENERGY CHEMISTRY	0.634 	Q4
"CHEMISTRY, PHYSICAL"	PROGRESS IN REACTION KINETICS AND MECHANISM	0.582 	Q4
"CHEMISTRY, PHYSICAL"	Russian Journal of Physical Chemistry A	0.581 	Q4
"CHEMISTRY, PHYSICAL"	JOURNAL OF STRUCTURAL CHEMISTRY	0.541 	Q4
"CHEMISTRY, PHYSICAL"	Science and Technology of Energetic Materials	0.510 	Q4
"CHEMISTRY, PHYSICAL"	Journal of Water Chemistry and Technology	0.504 	Q4
"CHEMISTRY, PHYSICAL"	Nature Catalysis		Q4
CLINICAL NEUROLOGY	LANCET NEUROLOGY	28.755 	Q1
CLINICAL NEUROLOGY	Nature Reviews Neurology	21.155 	Q1
CLINICAL NEUROLOGY	ACTA NEUROPATHOLOGICA	18.174 	Q1
CLINICAL NEUROLOGY	Alzheimers & Dementia	14.423 	Q1
CLINICAL NEUROLOGY	JAMA Neurology	12.321 	Q1
CLINICAL NEUROLOGY	BRAIN	11.814 	Q1
CLINICAL NEUROLOGY	SLEEP MEDICINE REVIEWS	10.517 	Q2
CLINICAL NEUROLOGY	NEURO-ONCOLOGY	10.091 	Q1
CLINICAL NEUROLOGY	ANNALS OF NEUROLOGY	9.496 	Q1
CLINICAL NEUROLOGY	NEUROLOGY	8.689 	Q1
CLINICAL NEUROLOGY	JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	8.272 	Q1
CLINICAL NEUROLOGY	MOVEMENT DISORDERS	8.061 	Q1
CLINICAL NEUROLOGY	Neurology-Neuroimmunology & Neuroinflammation	7.353 	Q3
CLINICAL NEUROLOGY	Brain Stimulation	6.919 	Q2
CLINICAL NEUROLOGY	Epilepsy Currents	6.909 	Q4
CLINICAL NEUROLOGY	NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY	6.878 	Q2
CLINICAL NEUROLOGY	NEUROSCIENTIST	6.791 	Q2
CLINICAL NEUROLOGY	BRAIN PATHOLOGY	6.155 	Q2
CLINICAL NEUROLOGY	Alzheimers Research & Therapy	6.142 	Q3
CLINICAL NEUROLOGY	STROKE	6.046 	Q1
CLINICAL NEUROLOGY	PAIN	6.029 	Q1
CLINICAL NEUROLOGY	Translational Stroke Research	5.847 	Q3
CLINICAL NEUROLOGY	Multiple Sclerosis Journal	5.649 	Q1
CLINICAL NEUROLOGY	Journal of Stroke	5.571 	Q4
CLINICAL NEUROLOGY	EPILEPSIA	5.562 	Q1
CLINICAL NEUROLOGY	Neurotherapeutics	5.552 	Q2
CLINICAL NEUROLOGY	JOURNAL OF PAIN	5.424 	Q1
CLINICAL NEUROLOGY	BIPOLAR DISORDERS	4.936 	Q2
CLINICAL NEUROLOGY	Annals of Clinical and Translational Neurology	4.656 	Q3
CLINICAL NEUROLOGY	CURRENT OPINION IN NEUROLOGY	4.647 	Q2
CLINICAL NEUROLOGY	NEUROSURGERY	4.605 	Q1
CLINICAL NEUROLOGY	SLEEP	4.571 	Q1
CLINICAL NEUROLOGY	EUROPEAN NEUROPSYCHOPHARMACOLOGY	4.468 	Q1
CLINICAL NEUROLOGY	International Journal of Stroke	4.466 	Q2
CLINICAL NEUROLOGY	CEPHALALGIA	4.438 	Q1
CLINICAL NEUROLOGY	EUROPEAN JOURNAL OF NEUROLOGY	4.387 	Q1
CLINICAL NEUROLOGY	PARKINSONISM & RELATED DISORDERS	4.360 	Q1
CLINICAL NEUROLOGY	PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY	4.315 	Q1
CLINICAL NEUROLOGY	JOURNAL OF PSYCHOPHARMACOLOGY	4.221 	Q2
CLINICAL NEUROLOGY	INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY	4.207 	Q2
CLINICAL NEUROLOGY	JOURNAL OF NEUROLOGY	4.204 	Q1
CLINICAL NEUROLOGY	CNS DRUGS	4.192 	Q2
CLINICAL NEUROLOGY	JOURNAL OF NEUROSURGERY	4.130 	Q1
CLINICAL NEUROLOGY	JOURNAL OF AFFECTIVE DISORDERS	4.084 	Q1
CLINICAL NEUROLOGY	CNS SPECTRUMS	3.940 	Q3
CLINICAL NEUROLOGY	JOURNAL OF HEADACHE AND PAIN	3.918 	Q2
